Vin,Iload,Kp_v,Ki_v,K_vin_rate,w_min,w_max,rms_e,overshoot,dip,duty_tv
9,0.6,3,40,0.0003,1.5,2.6,0.160872007831643,6.5514262930999,0.533859118365054,0.698865683696474
10,0.6,3,40,0.0001,1.5,2.6,0.139983347852492,6.31323132327539,0.492876111007288,0.636205141052437
11,0.6,3,20,5e-05,1.5,2.6,0.122089302597266,6.22529818379021,0.467861400883407,0.631395822546899
12,0.6,3,40,5e-05,1.8,2.6,0.122366468816184,8.33439329968111,0.44873226969851,0.630820689645551
13,0.6,3,20,0.0001,1.5,2.6,0.0963199960890908,16.6235598675326,0.431011572431022,0.687108331937551
14,0.6,3,20,0.00015,1.5,2.6,0.087559441158873,23.4827433664751,0.413191641142905,0.720018623102429
15,0.6,3,20,0.00015,1.5,2.6,0.0811246014925756,30.6088947265062,0.396083660978363,0.726640533758058
9,0.9,3,40,0.0003,1.5,2.6,0.201387577145726,5.76046172569916,0.904054252856604,1.01023653202212
10,0.9,3,40,0.00015,1.5,2.6,0.172033844621379,5.34922263805127,0.80959610378541,0.887511026473362
11,0.9,3,40,0.0001,1.5,2.6,0.150159288717531,5.14889078386485,0.744590377825165,0.825879435255667
12,0.9,3,40,5e-05,1.8,2.6,0.145202868155376,6.62088292753893,0.703957269958863,0.749085710393003
13,0.9,3,40,0.00015,1.5,2.6,0.124718423852431,14.3172830632277,0.671520450999964,0.789947188910603
14,0.9,3,40,0.00015,1.5,2.6,0.118390357354262,21.1123586231694,0.638806528174854,0.780932090658707
15,0.9,3,40,0.00015,1.5,2.6,0.113466289384678,28.2842078731763,0.610452134313981,0.784020096191113
9,1.2,2.5,20,0.0003,1.5,2.6,0.273713675171148,4.51463050022512,1.38473822499143,1.13243506801843
10,1.2,3,40,0.00015,1.5,2.6,0.229091625623136,4.56485083373274,1.20990274688243,1.15087847577264
11,1.2,3,40,0.0001,1.5,2.6,0.20124315033122,4.40465708132147,1.08771052585657,1.02783209966781
12,1.2,3,40,5e-05,1.8,2.6,0.192681540839558,4.89295284869942,1.00202620051679,0.891278604897642
13,1.2,3,40,0.0001,1.8,2.6,0.180274303704797,11.2935719888398,0.944123916480997,0.872470555142791
14,1.2,3,40,0.0002,1.5,2.6,0.159572226491853,19.3853706208475,0.884882265470239,0.934920067612963
15,1.2,3,40,0.0002,1.5,2.6,0.151592002716777,26.5649157474901,0.837196333462149,0.922437952702762
9,1.5,1.5,20,0.0003,1.5,2.6,0.389098099833245,3.27095371655438,1.86756674447423,1.00205740236663
10,1.5,2.5,20,0.0003,1.5,2.6,0.306581142938309,3.11537949349325,1.67944715692859,1.31854509937104
11,1.5,2.5,20,0.0002,1.5,2.6,0.269733978265449,2.93169060485129,1.49135039023436,1.15485592382256
12,1.5,3,40,5e-05,1.8,2.6,0.245692980882504,3.81277558411366,1.3435280082635,1.08530415961145
13,1.5,3,40,0.00015,1.8,2.6,0.226524047622393,9.9179654247612,1.24790520906661,1.04706950621843
14,1.5,3,40,0.0002,1.5,2.6,0.20147430647379,17.6540649662836,1.16165092387427,1.08878974666926
15,1.5,3,40,0.0002,1.5,2.6,0.189495854387469,24.8575439755223,1.09305150346779,1.0535158784095
9,1.8,1,20,0.0003,1.5,2.6,0.514825229378611,1.84774874062663,2.37716676571808,1.01219760334729
10,1.8,1.5,20,0.0003,1.5,2.6,0.420871166740933,2.41474773920187,2.11811320227228,1.10689183719468
11,1.8,2.5,20,0.0001,2.1,2.6,0.357623472199824,2.82426606346873,1.87887463997271,1.16936785060289
12,1.8,2.5,20,0.0001,1.8,2.6,0.312668742936325,2.2215288372585,1.71937116536288,1.15169051810461
13,1.8,3,40,0.00015,1.8,2.6,0.276605340449985,8.54460662009797,1.58712083599646,1.23541234789975
14,1.8,3,40,0.0002,1.5,2.6,0.245896808006556,16.3513793902935,1.47009434208764,1.27462721431386
15,1.8,3,40,0.0002,1.5,2.6,0.229966237023557,23.4497223121248,1.37115146193574,1.21511271611751
9,2.1,1,20,0.0003,1.5,2.6,0.60575601668385,1.40325686517769,2.96177415554873,1.16642797121157
10,2.1,1,20,0.0003,1.5,2.6,0.536841129092869,1.38946476966379,2.58052643895388,1.09365533109006
11,2.1,2,20,0.0003,2.1,3.4,0.446899653121564,1.77648685131619,2.30560985828202,1.23455113951117
12,2.1,2.5,20,5e-05,2.1,3.4,0.386670593845581,1.33302668246065,2.10538443329483,1.23564122608375
13,2.1,2.5,40,5e-05,2.1,2.6,0.35646065728542,6.8266350164577,1.92396517266323,1.15502961169121
14,2.1,3,40,0.0002,1.8,2.6,0.303921375742491,14.3780369668605,1.79859358009244,1.37111902818986
15,2.1,3,40,0.0003,1.5,2.6,0.272855627546537,22.1547702178804,1.6707589344569,1.44678565840561
9,2.4,1,20,0.0003,2.1,3.4,0.742536168817601,1.25688629154257,3.50417309002233,1.21395347292796
10,2.4,1,20,0.0003,1.5,2.6,0.61687178519602,1.06106640534655,3.1017836247945,1.23605222320686
11,2.4,1.5,20,0.0003,2.1,3.4,0.552496754289277,1.61423092147821,2.72447098981591,1.21601738427019
12,2.4,2,20,0.0002,2.1,2.6,0.466873245661574,1.57584924381167,2.48823429440966,1.28677099988687
13,2.4,2,20,0.0001,2.1,3,0.42957939621679,5.82321090790635,2.26882862412335,1.17508851350267
14,2.4,2.5,20,0.0002,1.8,2.6,0.362593894636566,13.3831532631303,2.14017646263486,1.38216135389655
15,2.4,3,20,0.0003,1.8,2.6,0.327838763020999,20.3309233774363,1.9859046125165,1.51782939998747
